(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, 0.0, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, -0.1, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, -0.1, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, -0.1, 0.0, 1.0)
(0.0, -0.3, 0.0),(0.0, -0.1, 0.0, 1.0)
(-0.1, -0.3, 0.0),(0.0, -0.2, 0.0, 1.0)
(-0.1, -0.3, 0.0),(0.0, -0.2, 0.0, 1.0)
(-0.1, -0.3, 0.0),(0.0, -0.2, 0.0, 1.0)
(-0.1, -0.3, 0.0),(0.0, -0.2, 0.0, 1.0)
(-0.1, -0.3, 0.0),(0.0, -0.2, 0.0, 1.0)
(-0.2, -0.3, 0.0),(0.0, -0.3, 0.0, 1.0)
(-0.2, -0.3, 0.0),(0.0, -0.3, 0.0, 1.0)
(-0.2, -0.3, 0.0),(0.0, -0.3, 0.0, 0.9)
(-0.3, -0.3, 0.0),(0.0, -0.3, 0.0, 0.9)
(-0.3, -0.3, 0.0),(0.0, -0.4, 0.0, 0.9)
(-0.3, -0.3, 0.0),(0.0, -0.4, 0.0, 0.9)
(-0.4, -0.3, 0.0),(0.0, -0.4, 0.0, 0.9)
